class,mediaSepalLength,volume
Iris-setosa,5.006,38.113319999999995
Iris-setosa,5.006,35.18265333333334
Iris-setosa,5.006,30.057126666666676
Iris-setosa,5.006,33.221199999999996
Iris-setosa,5.006,36.63333333333333
Iris-setosa,5.006,51.88536000000001
Iris-setosa,5.006,31.006453333333326
Iris-setosa,5.006,39.25
Iris-setosa,5.006,28.368853333333337
Iris-setosa,5.006,37.69570000000001
Iris-setosa,5.006,45.781200000000005
Iris-setosa,5.006,38.584320000000005
Iris-setosa,5.006,33.76128
Iris-setosa,5.006,21.288153333333337
Iris-setosa,5.006,42.251839999999994
Iris-setosa,5.006,51.0093
Iris-setosa,5.006,39.67704000000001
Iris-setosa,5.006,38.113319999999995
Iris-setosa,5.006,57.81054
Iris-setosa,5.006,40.835699999999996
Iris-setosa,5.006,51.88536000000001
Iris-setosa,5.006,40.835699999999996
Iris-setosa,5.006,22.147466666666663
Iris-setosa,5.006,46.28046
Iris-setosa,5.006,45.81888
Iris-setosa,5.006,41.866666666666674
Iris-setosa,5.006,41.866666666666674
Iris-setosa,5.006,42.4528
Iris-setosa,5.006,39.62261333333334
Iris-setosa,5.006,36.99338666666668
Iris-setosa,5.006,38.584320000000005
Iris-setosa,5.006,45.781200000000005
Iris-setosa,5.006,42.4528
Iris-setosa,5.006,44.32633333333333
Iris-setosa,5.006,37.69570000000001
Iris-setosa,5.006,31.399999999999995
Iris-setosa,5.006,41.160166666666676
Iris-setosa,5.006,37.69570000000001
Iris-setosa,5.006,26.342506666666676
Iris-setosa,5.006,40.835699999999996
Iris-setosa,5.006,34.01666666666667
Iris-setosa,5.006,27.553500000000003
Iris-setosa,5.006,26.342506666666676
Iris-setosa,5.006,41.866666666666674
Iris-setosa,5.006,51.72522
Iris-setosa,5.006,33.76128
Iris-setosa,5.006,43.55808000000001
Iris-setosa,5.006,31.006453333333326
Iris-setosa,5.006,44.1013
Iris-setosa,5.006,36.63333333333333
Iris-versicolor,5.936,241.04733333333334
Iris-versicolor,5.936,192.92160000000004
Iris-versicolor,5.936,244.17582000000004
Iris-versicolor,5.936,126.64666666666666
Iris-versicolor,5.936,203.41966666666667
Iris-versicolor,5.936,153.02790000000002
Iris-versicolor,5.936,195.24833999999998
Iris-versicolor,5.936,82.93054000000002
Iris-versicolor,5.936,209.72687999999997
Iris-versicolor,5.936,110.37728000000003
Iris-versicolor,5.936,91.58333333333333
Iris-versicolor,5.936,153.02476000000001
Iris-versicolor,5.936,150.72
Iris-versicolor,5.936,183.04839333333334
Iris-versicolor,5.936,118.16447999999998
Iris-versicolor,5.936,206.73341333333337
Iris-versicolor,5.936,147.70559999999998
Iris-versicolor,5.936,144.3604533333333
Iris-versicolor,5.936,181.05240000000003
Iris-versicolor,5.936,128.01152
Iris-versicolor,5.936,174.88544000000002
Iris-versicolor,5.936,155.78586666666664
Iris-versicolor,5.936,203.55678
