Class;sepalLength
Iris-setosa;5.1
Iris-setosa;4.9
Iris-setosa;4.7
Iris-setosa;4.6
Iris-setosa;5.0
Iris-setosa;5.4
Iris-setosa;4.6
Iris-setosa;5.0
Iris-setosa;4.4
Iris-setosa;4.9
Iris-setosa;5.4
Iris-setosa;4.8
Iris-setosa;4.8
Iris-setosa;4.3
Iris-setosa;5.8
Iris-setosa;5.7
Iris-setosa;5.4
Iris-setosa;5.1
Iris-setosa;5.7
Iris-setosa;5.1
Iris-setosa;5.4
Iris-setosa;5.1
Iris-setosa;4.6
Iris-setosa;5.1
Iris-setosa;4.8
Iris-setosa;5.0
Iris-setosa;5.0
Iris-setosa;5.2
Iris-setosa;5.2
Iris-setosa;4.7
Iris-setosa;4.8
Iris-setosa;5.4
Iris-setosa;5.2
Iris-setosa;5.5
Iris-setosa;4.9
Iris-setosa;5.0
Iris-setosa;5.5
Iris-setosa;4.9
Iris-setosa;4.4
Iris-setosa;5.1
Iris-setosa;5.0
Iris-setosa;4.5
Iris-setosa;4.4
Iris-setosa;5.0
Iris-setosa;5.1
Iris-setosa;4.8
Iris-setosa;5.1
Iris-setosa;4.6
Iris-setosa;5.3
Iris-setosa;5.0
Iris-versicolor;7.0
Iris-versicolor;6.4
Iris-versicolor;6.9
Iris-versicolor;5.5
Iris-versicolor;6.5
Iris-versicolor;5.7
Iris-versicolor;6.3
Iris-versicolor;4.9
Iris-versicolor;6.6
Iris-versicolor;5.2
Iris-versicolor;5.0
Iris-versicolor;5.9
Iris-versicolor;6.0
Iris-versicolor;6.1
Iris-versicolor;5.6
Iris-versicolor;6.7
Iris-versicolor;5.6
Iris-versicolor;5.8
Iris-versicolor;6.2
Iris-versicolor;5.6
Iris-versicolor;5.9
Iris-versicolor;6.1
Iris-versicolor;6.3
Iris-versicolor;6.1
Iris-versicolor;6.4
Iris-versicolor;6.6
Iris-versicolor;6.8
Iris-versicolor;6.7
Iris-versicolor;6.0
Iris-versicolor;5.7
Iris-versicolor;5.5
Iris-versicolor;5.5
Iris-versicolor;5.8
Iris-versicolor;6.0
Iris-versicolor;5.4
Iris-versicolor;6.0
Iris-versicolor;6.7
Iris-versicolor;6.3
Iris-versicolor;5.6
Iris-versicolor;5.5
Iris-versicolor;5.5
Iris-versicolor;6.1
Iris-versicolor;5.8
Iris-versicolor;5.0
Iris-versicolor;5.6
Iris-versicolor;5.7
Iris-versicolor;5.7
Iris-versicolor;6.2
Iris-versicolor;5.1
Iris-versicolor;5.7
Iris-virginica;6.3
Iris-virginica;5.8
Iris-virginica;7.1
Iris-virginica;6.3
Iris-virginica;6.5
Iris-virginica;7.6
Iris-virginica;4.9
Iris-virginica;7.3
Iris-virginica;6.7
Iris-virginica;7.2
Iris-virginica;6.5
Iris-virginica;6.4
Iris-virginica;6.8
Iris-virginica;5.7
Iris-virginica;5.8
Iris-virginica;6.4
Iris-virginica;6.5
Iris-virginica;7.7
Iris-virginica;7.7
Iris-virginica;6.0
Iris-virginica;6.9
Iris-virginica;5.6
Iris-virginica;7.7
Iris-virginica;6.3
Iris-virginica;6.7
Iris-virginica;7.2
Iris-virginica;6.2
Iris-virginica;6.1
Iris-virginica;6.4
Iris-virginica;7.2
Iris-virginica;7.4
Iris-virginica;7.9
Iris-virginica;6.4
Iris-virginica;6.3
Iris-virginica;6.1
Iris-virginica;7.7
Iris-virginica;6.3
Iris-virginica;6.4
Iris-virginica;6.0
Iris-virginica;6.9
Iris-virginica;6.7
Iris-virginica;6.9
Iris-virginica;5.8
Iris-virginica;6.8
Iris-virginica;6.7
Iris-virginica;6.7
Iris-virginica;6.3
Iris-virginica;6.5
Iris-virginica;6.2
Iris-virginica;5.9
